品牌,能效等级,支持IPv6,类型,处理器,厚度,机身材质,内存容量,屏幕尺寸,Pairs
acer,三级能效,no,轻薄本,Apple M2,18.1-20.0mm,含碳纤维,24GB,15.0-15.9英寸,36
haier,一级能效,yes,高端轻薄本,intel i5,18.1-20.0mm,复合材质,32GB,13.0英寸以下,36
dell,二级能效,yes,高端游戏本,AMD R7,15.0mm 及以下,金属+复合材质,36GB,16.0-16.9英寸,36
lenovo,一级能效,no,游戏本,Apple M1 Max,20.0mm 以上,金属,64GB,17英寸,36
thinkpad,三级能效,yes,游戏本,龙芯,15.1-18.0mm,金属,48GB,17.3英寸,35
haier,五级能效,no,游戏本,intel i3,15.0mm 及以下,复合材质,20GB,18.4英寸,34
huawei,五级能效,yes,高性能轻薄本,AMD R3,20.0mm 以上,复合材质,16GB,17英寸,33
apple,一级能效,yes,轻薄本,AMD R9,15.0mm 及以下,含碳纤维,4GB,14.0-14.9英寸,33
hp,一级能效,no,高性能轻薄本,兆芯,15.1-18.0mm,金属,40GB,13.0-13.9英寸,32
huawei,五级能效,no,轻薄本,AMD 速龙,15.1-18.0mm,金属+复合材质,8GB,13.0英寸以下,32
mi,二级能效,no,高端游戏本,intel 奔腾,15.1-18.0mm,复合材质,4GB,13.0-13.9英寸,31
mechrevo,三级能效,yes,高端游戏本,麒麟,20.0mm 以上,金属+复合材质,32GB,13.0-13.9英寸,29
honor,五级能效,no,高端轻薄本,AMD R9,20.0mm 以上,金属,128GB,18.4英寸,29
asus,五级能效,yes,高端轻薄本,intel 奔腾,18.1-20.0mm,金属+复合材质,40GB,14.0-14.9英寸,28
acer,二级能效,yes,游戏本,Apple M1 Pro,15.1-18.0mm,含碳纤维,12GB,13.0-13.9英寸,26
lenovo,三级能效,yes,高端游戏本,高通,18.1-20.0mm,含碳纤维,6GB,18.4英寸,28
asus,二级能效,no,高性能轻薄本,intel 赛扬,18.1-20.0mm,金属+复合材质,128GB,17.3英寸,27
thinkpad,一级能效,yes,高端游戏本,intel i3,20.0mm 以上,含碳纤维,8GB,16.0-16.9英寸,25
haier,二级能效,no,高端轻薄本,AMD R5,15.1-18.0mm,金属,8GB,15.0-15.9英寸,24
mechrevo,三级能效,no,轻薄本,intel 至强,15.1-18.0mm,金属,12GB,16.0-16.9英寸,25
mi,二级能效,yes,高性能轻薄本,intel i5,20.0mm 以上,含碳纤维,64GB,17英寸,21
honor,五级能效,yes,高性能轻薄本,Apple M1,15.0mm 及以下,含碳纤维,6GB,16.0-16.9英寸,22
dell,三级能效,no,高端轻薄本,intel 赛扬,15.1-18.0mm,复合材质,24GB,14.0-14.9英寸,24
apple,五级能效,no,高端轻薄本,飞腾,18.1-20.0mm,含碳纤维,48GB,16.0-16.9英寸,23
hp,三级能效,yes,游戏本,intel 至强,15.0mm 及以下,金属+复合材质,20GB,15.0-15.9英寸,24
mi,一级能效,no,高端游戏本,AMD R7,20.0mm 以上,金属,36GB,13.0英寸以下,19
acer,一级能效,no,轻薄本,麒麟,20.0mm 以上,复合材质,16GB,18.4英寸,20
honor,二级能效,yes,游戏本,intel i9,15.0mm 及以下,金属,24GB,14.0-14.9英寸,21
acer,三级能效,no,高端轻薄本,intel i7,15.0mm 及以下,含碳纤维,4GB,17英寸,19
honor,一级能效,no,轻薄本,Apple M1 Pro,20.0mm 以上,含碳纤维,32GB,17.3英寸,19
asus,三级能效,no,游戏本,AMD 速龙,20.0mm 以上,复合材质,6GB,13.0英寸以下,19
acer,五级能效,no,高端游戏本,Apple M2,15.1-18.0mm,金属+复合材质,64GB,17英寸,18
mechrevo,三级能效,no,高性能轻薄本,intel i3,15.1-18.0mm,复合材质,36GB,15.0-15.9英寸,18
apple,三级能效,no,轻薄本,intel i9,18.1-20.0mm,金属+复合材质,20GB,13.0-13.9英寸,17
mechrevo,二级能效,yes,高性能轻薄本,AMD 速龙,15.0mm 及以下,含碳纤维,16GB,17.3英寸,18
huawei,三级能效,no,高端轻薄本,Apple M1 Max,18.1-20.0mm,金属,16GB,13.0-13.9英寸,18
thinkpad,五级能效,no,高性能轻薄本,Apple M1 Pro,15.0mm 及以下,复合材质,32GB,18.4英寸,18
hp,二级能效,yes,轻薄本,intel i7,15.1-18.0mm,金属,128GB,17英寸,17
asus,一级能效,yes,高性能轻薄本,intel 赛扬,15.1-18.0mm,金属+复合材质,12GB,18.4英寸,15
dell,一级能效,no,高性能轻薄本,龙芯,15.0mm 及以下,复合材质,128GB,16.0-16.9英寸,16
lenovo,二级能效,yes,游戏本,AMD R3,18.1-20.0mm,复合材质,8GB,16.0-16.9英寸,15
dell,五级能效,no,游戏本,intel i7,15.0mm 及以下,复合材质,40GB,17.3英寸,16
mi,五级能效,yes,轻薄本,兆芯,15.0mm 及以下,金属+复合材质,48GB,18.4英寸,18
hp,五级能效,no,高端轻薄本,Apple M1,20.0mm 以上,含碳纤维,36GB,15.0-15.9英寸,16
acer,一级能效,no,高端轻薄本,高通,15.1-18.0mm,金属,20GB,13.0英寸以下,16
honor,五级能效,yes,高端游戏本,AMD R5,20.0mm 以上,含碳纤维,20GB,13.0-13.9英寸,15
huawei,三级能效,yes,游戏本,飞腾,15.0mm 及以下,含碳纤维,128GB,15.0-15.9英寸,16
apple,二级能效,no,游戏本,AMD R7,20.0mm 以上,复合材质,6GB,17英寸,13
haier,三级能效,yes,高端游戏本,AMD R9,20.0mm 以上,含碳纤维,64GB,17.3英寸,14
lenovo,一级能效,no,游戏本,AMD R5,15.0mm 及以下,金属+复合材质,48GB,13.0英寸以下,14
huawei,一级能效,yes,高性能轻薄本,AMD R5,18.1-20.0mm,复合材质,24GB,18.4英寸,12
lenovo,五级能效,no,高端轻薄本,Apple M2,15.0mm 及以下,复合材质,12GB,13.0英寸以下,14
